app_id,app_name,review_count
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,1644255
271590,Grand Theft Auto V,1019116
359550,Tom Clancy's Rainbow Six Siege,841918
105600,Terraria,672815
4000,Garry's Mod,655524
252490,Rust,549074
252950,Rocket League,498565
218620,PAYDAY 2,487747
945360,Among Us,485293
292030,The Witcher 3: Wild Hunt,469395
381210,Dead by Daylight,418897
346110,ARK: Survival Evolved,400009
227300,Euro Truck Simulator 2,387553
413150,Stardew Valley,315717
72850,The Elder Scrolls V: Skyrim,294966
431960,Wallpaper Engine,292790
582010,Monster Hunter: World,290946
367520,Hollow Knight,269854
242760,The Forest,239734
322330,Don't Starve Together,238636
374320,DARK SOULS™ III,235422
620,Portal 2,232329
377160,Fallout 4,228957
739630,Phasmophobia,219090
239140,Dying Light,214431
107410,Arma 3,182348
275850,No Man's Sky,182045
203160,Tomb Raider,181054
8930,Sid Meier's Civilization V,171404
264710,Subnautica,152414
698780,Doki Doki Literature Club,148837
255710,Cities: Skylines,147028
391540,Undertale,144351
289070,Sid Meier's Civilization VI,143789
489830,The Elder Scrolls V: Skyrim Special Edition,142509
379720,DOOM,139973
250900,The Binding of Isaac: Rebirth,124389
48700,Mount & Blade: Warband,123905
477160,Human: Fall Flat,123604
814380,Sekiro™: Shadows Die Twice,119760
1145360,Hades,118416
240,Counter-Strike: Source,118081
394360,Hearts of Iron IV,116255
435150,Divinity: Original Sin 2,113508
427520,Factorio,108282
8870,BioShock Infinite,107277
782330,DOOM Eternal,105196
648800,Raft,97930
281990,Stellaris,94667
294100,RimWorld,94041
304390,For Honor,93971
812140,Assassin's Creed Odyssey,92766
306130,The Elder Scrolls Online,91923
391220,Rise of the Tomb Raider,91106
221380,Age of Empires II (2013),86513
262060,Darkest Dungeon®,86384
1289310,Helltaker,86306
646570,Slay the Spire,86023
552520,Far Cry 5,85745
236850,Europa Universalis IV,85477
594570,Total War: WARHAMMER II,85255
219740,Don't Starve,85088
883710,Resident Evil 2,82650
629760,MORDHAU,82327
225540,Just Cause 3,82168
524220,NieR:Automata™,81110
594650,Hunt: Showdown,79345
204360,Castle Crashers,74916
379430,Kingdom Come: Deliverance,72944
548430,Deep Rock Galactic,72059
270880,American Truck Simulator,71140
268910,Cuphead,68691
518790,theHunter: Call of the Wild™,67240
397540,Borderlands 3,67080
779340,Total War: THREE KINGDOMS,66982
238320,Outlast,65525
588650,Dead Cells,64772
581320,Insurgency: Sandstorm,64638
582160,Assassin's Creed Origins,62294
440900,Conan Exiles,62151
552500,Warhammer: Vermintide 2,61887
268500,XCOM 2,61636
644560,Mirror,60195
284160,BeamNG.drive,60096
219150,Hotline Miami,60074
457140,Oxygen Not Included,59920
323190,Frostpunk,59768
960090,Bloons TD 6,59760
238460,BattleBlock Theater,59317
55230,Saints Row: The Third,59305
433340,Slime Rancher,58049
212680,FTL: Faster Than Light,57466
70,Half-Life,57320
214950,Total War: ROME II - Emperor Edition,57149
362890,Black Mesa,56895
205100,Dishonored,56337
311690,Enter the Gungeon,55358
356190,Middle-earth™: Shadow of War™,54196
207610,The Walking Dead,52757
206440,To the Moon,52738
1057090,Ori and the Will of the Wisps,52554
508440,Totally Accurate Battle Simulator,52119
460930,Tom Clancy's Ghost Recon® Wildlands,51460
546560,Half-Life: Alyx,51099
113200,The Binding of Isaac,48838
863550,HITMAN™ 2,48372
1190460,DEATH STRANDING,47781
447040,Watch_Dogs 2,47742
364360,Total War: WARHAMMER,46205
620980,Beat Saber,46043
1158310,Crusader Kings III,45151
513710,SCUM,44913
213670,South Park™: The Stick of Truth™,44849
493340,Planet Coaster,43637
526870,Satisfactory,42449
274190,Broforce,40977
1113000,Persona 4 Golden,40180
233860,Kenshi,39936
239030,"Papers, Please",39882
787860,Farming Simulator 19,38429
648350,Jurassic World Evolution,38096
683320,GRIS,38048
286160,Tabletop Simulator,37766
646910,The Crew 2,37744
834910,ATLAS,37210
582660,Black Desert Online,36968
570940,DARK SOULS™: REMASTERED,36603
418370,Resident Evil 7 Biohazard,36142
613100,House Flipper,36092
253230,A Hat in Time,34979
242920,Banished,34675
678950,DRAGON BALL FighterZ,34629
823130,Totally Accurate Battlegrounds,34465
637650,FINAL FANTASY XV WINDOWS EDITION,32864
466560,Northgard,32733
240720,Getting Over It with Bennett Foddy,31970
644930,They Are Billions,31842
638970,Yakuza 0,31775
636480,Ravenfield,31746
504230,Celeste,31454
35140,Batman: Arkham Asylum GOTY Edition,31062
39210,FINAL FANTASY XIV Online,29941
621060,PC Building Simulator,29623
666140,My Time At Portia,29557
312660,Sniper Elite 4,28252
40800,Super Meat Boy,28192
